PACKET_ID,SEGMENT_ID,PACKET_TYPE,CONTROL_PACKET_TYPE/APP_NAME,SOURCE_ID,DESTINATION_ID,TRANSMITTER_ID,RECEIVER_ID,APP_LAYER_ARRIVAL_TIME(US),TRX_LAYER_ARRIVAL_TIME(US),NW_LAYER_ARRIVAL_TIME(US),MAC_LAYER_ARRIVAL_TIME(US),PHY_LAYER_ARRIVAL_TIME(US),PHY_LAYER_START_TIME(US),PHY_LAYER_END_TIME(US),APP_LAYER_PAYLOAD(Bytes),TRX_LAYER_PAYLOAD(Bytes),NW_LAYER_PAYLOAD(Bytes),MAC_LAYER_PAYLOAD(Bytes),PHY_LAYER_PAYLOAD(Bytes),PHY_LAYER_OVERHEAD(Bytes),PACKET_STATUS,SOURCE_IP,DESTINATION_IP,GATEWAY_IP,NEXT_HOP_IP,
0,N/A,Control_Packet,DAO,SENSOR-4,SINKNODE-1,SENSOR-4,SINKNODE-1,N/A,N/A,4034780.600,4034780.600,4035100.600,4035100.600,4036860.600,N/A,N/A,0.000,44.000,49.000,6.000,Successful,FDEC:3017:E256:9BB8:1FE7:2745:6BDD:B053,FDEC:3017:E256:9BB8:1FE7:AE0D:AB9B:B5B5,FDEC:3017:E256:9BB8:1FE7:2745:6BDD:B053,FDEC:3017:E256:9BB8:1FE7:AE0D:AB9B:B5B5,
0,N/A,Control_Packet,DIO,SINKNODE-1,Broadcast-0,SINKNODE-1,SENSOR-4,N/A,N/A,4034857.000,4034857.000,4037501.600,4037501.600,4039389.600,N/A,N/A,0.000,48.000,53.000,6.000,Successful,FDEC:3017:E256:9BB8:1FE7:AE0D:AB9B:B5B5,FF00:0:0:0:0:0:0:0,FDEC:3017:E256:9BB8:1FE7:AE0D:AB9B:B5B5,FF00:0:0:0:0:0:0:0,
0,N/A,Control_Packet,DIO,SINKNODE-1,Broadcast-0,SINKNODE-1,SENSOR-5,N/A,N/A,4034857.000,4034857.000,4037501.600,4037501.600,4039389.600,N/A,N/A,0.000,48.000,53.000,6.000,Successful,FDEC:3017:E256:9BB8:1FE7:AE0D:AB9B:B5B5,FF00:0:0:0:0:0:0:0,FDEC:3017:E256:9BB8:1FE7:AE0D:AB9B:B5B5,FF00:0:0:0:0:0:0:0,
0,N/A,Control_Packet,DIO,SINKNODE-1,Broadcast-0,SINKNODE-1,SENSOR-7,N/A,N/A,4034857.000,4034857.000,4037501.600,4037501.600,4039389.600,N/A,N/A,0.000,48.000,53.000,6.000,Successful,FDEC:3017:E256:9BB8:1FE7:AE0D:AB9B:B5B5,FF00:0:0:0:0:0:0:0,FDEC:3017:E256:9BB8:1FE7:AE0D:AB9B:B5B5,FF00:0:0:0:0:0:0:0,
6,0,Sensing,App1_SENSOR_APP,SENSOR-8,NODE-3,SENSOR-8,SENSOR-7,5000000.000,5000000.000,5000000.000,5000000.000,5002560.000,5002560.000,5005408.000,50.000,50.000,58.000,78.000,83.000,6.000,Successful,FDEC:3017:E256:9BB8:1FE7:DC30:4482:0AC7,FDEC:3017:E256:9BB8:1FE7:AE0D:AB9B:B5B5,FDEC:3017:E256:9BB8:1FE7:DC30:4482:0AC7,FDEC:3017:E256:9BB8:1FE7:4563:9051:53CE,
0,N/A,Control_Packet,DAO,SENSOR-5,SINKNODE-1,SENSOR-5,SINKNODE-1,N/A,N/A,5007711.534,5007711.534,5009311.534,5009311.534,5011071.534,N/A,N/A,0.000,44.000,49.000,6.000,Collided,FDEC:3017:E256:9BB8:1FE7:0B65:8EF5:B67C,FDEC:3017:E256:9BB8:1FE7:AE0D:AB9B:B5B5,FDEC:3017:E256:9BB8:1FE7:0B65:8EF5:B67C,FDEC:3017:E256:9BB8:1FE7:AE0D:AB9B:B5B5,
0,N/A,Control_Packet,DAO,SENSOR-7,SINKNODE-1,SENSOR-7,SINKNODE-1,N/A,N/A,5008617.933,5008617.933,5013737.933,5013737.933,5015497.933,N/A,N/A,0.000,44.000,49.000,6.000,Successful,FDEC:3017:E256:9BB8:1FE7:4563:9051:53CE,FDEC:3017:E256:9BB8:1FE7:AE0D:AB9B:B5B5,FDEC:3017:E256:9BB8:1FE7:4563:9051:53CE,FDEC:3017:E256:9BB8:1FE7:AE0D:AB9B:B5B5,
0,N/A,Control_Packet,DAO,SENSOR-6,SENSOR-7,SENSOR-6,SENSOR-7,N/A,N/A,5016608.654,5016608.654,5017888.654,5017888.654,5019648.654,N/A,N/A,0.000,44.000,49.000,6.000,Collided,FDEC:3017:E256:9BB8:1FE7:962D:4D1F:C7EE,FDEC:3017:E256:9BB8:1FE7:4563:9051:53CE,FDEC:3017:E256:9BB8:1FE7:962D:4D1F:C7EE,FDEC:3017:E256:9BB8:1FE7:4563:9051:53CE,
0,N/A,Control_Packet,DAO,SENSOR-8,SENSOR-7,SENSOR-8,SENSOR-7,N/A,N/A,5024139.467,5024139.467,5024459.467,5024459.467,5026219.467,N/A,N/A,0.000,44.000,49.000,6.000,Successful,FDEC:3017:E256:9BB8:1FE7:DC30:4482:0AC7,FDEC:3017:E256:9BB8:1FE7:4563:9051:53CE,FDEC:3017:E256:9BB8:1FE7:DC30:4482:0AC7,FDEC:3017:E256:9BB8:1FE7:4563:9051:53CE,
0,N/A,Control_Packet,DAO,SENSOR-5,SINKNODE-1,SENSOR-5,SINKNODE-1,N/A,N/A,5024290.534,5024290.534,5027810.534,5027810.534,5029570.534,N/A,N/A,0.000,44.000,49.000,6.000,Successful,FDEC:3017:E256:9BB8:1FE7:0B65:8EF5:B67C,FDEC:3017:E256:9BB8:1FE7:AE0D:AB9B:B5B5,FDEC:3017:E256:9BB8:1FE7:0B65:8EF5:B67C,FDEC:3017:E256:9BB8:1FE7:AE0D:AB9B:B5B5,
